week,taxes
2011-10-08,27
2011-10-15,26
2011-10-22,24
2011-10-29,24
2011-11-05,22
2011-11-12,23
2011-11-19,20
2011-11-26,25
2011-12-03,25
2011-12-10,25
2011-12-17,22
2011-12-24,27
2011-12-31,38
2012-01-07,40
2012-01-14,49
2012-01-21,66
2012-01-28,72
2012-02-04,59
2012-02-11,49
2012-02-18,47
2012-02-25,45
2012-03-03,40
2012-03-10,40
2012-03-17,40
2012-03-24,46
2012-03-31,47
2012-04-07,72
2012-04-14,76
2012-04-21,29
2012-04-28,28
2012-05-05,24
2012-05-12,24
2012-05-19,22
2012-05-26,21
2012-06-02,22
2012-06-09,23
2012-06-16,22
2012-06-23,24
2012-06-30,22
2012-07-07,24
2012-07-14,25
2012-07-21,23
2012-07-28,28
2012-08-04,25
2012-08-11,25
2012-08-18,23
2012-08-25,23
2012-09-01,24
2012-09-08,25
2012-09-15,31
2012-09-22,27
2012-09-29,28
2012-10-06,26
2012-10-13,28
2012-10-20,25
2012-10-27,24
2012-11-03,31
2012-11-10,26
2012-11-17,21
2012-11-24,29
2012-12-01,29
2012-12-08,27
2012-12-15,24
2012-12-22,25
2012-12-29,48
2013-01-05,48
2013-01-12,51
2013-01-19,61
2013-01-26,77
2013-02-02,68
2013-02-09,57
2013-02-16,53
2013-02-23,50
2013-03-02,47
2013-03-09,45
2013-03-16,44
2013-03-23,45
2013-03-30,49
2013-04-06,67
2013-04-13,69
2013-04-20,29
2013-04-27,29
2013-05-04,24
2013-05-11,24
2013-05-18,23
2013-05-25,21
2013-06-01,22
2013-06-08,22
2013-06-15,21
2013-06-22,22
2013-06-29,20
2013-07-06,21
2013-07-13,22
2013-07-20,22
2013-07-27,23
2013-08-03,22
2013-08-10,21
2013-08-17,21
2013-08-24,21
2013-08-31,20
2013-09-07,23
2013-09-14,23
2013-09-21,22
2013-09-28,25
2013-10-05,24
2013-10-12,25
2013-10-19,23
2013-10-26,23
2013-11-02,23
2013-11-09,23
2013-11-16,23
2013-11-23,19
2013-11-30,24
2013-12-07,25
2013-12-14,25
2013-12-21,22
2013-12-28,33
2014-01-04,38
2014-01-11,46
2014-01-18,54
2014-01-25,73
2014-02-01,73
2014-02-08,59
2014-02-15,53
2014-02-22,50
2014-03-01,47
2014-03-08,45
2014-03-15,44
2014-03-22,46
2014-03-29,50
2014-04-05,58
2014-04-12,80
2014-04-19,29
2014-04-26,29
2014-05-03,25
2014-05-10,23
2014-05-17,22
2014-05-24,22
2014-05-31,22
2014-06-07,22
2014-06-14,22
2014-06-21,21
2014-06-28,20
2014-07-05,22
2014-07-12,23
2014-07-19,22
2014-07-26,23
2014-08-02,21
2014-08-09,21
2014-08-16,21
2014-08-23,22
2014-08-30,21
2014-09-06,22
2014-09-13,23
2014-09-20,23
2014-09-27,24
2014-10-04,24
2014-10-11,25
2014-10-18,23
2014-10-25,24
2014-11-01,25
2014-11-08,24
2014-11-15,24
2014-11-22,20
2014-11-29,25
2014-12-06,25
2014-12-13,24
2014-12-20,20
2014-12-27,33
2015-01-03,40
2015-01-10,45
2015-01-17,56
2015-01-24,70
2015-01-31,73
2015-02-07,62
2015-02-14,54
2015-02-21,50
2015-02-28,48
2015-03-07,46
2015-03-14,44
2015-03-21,45
2015-03-28,48
2015-04-04,57
2015-04-11,85
2015-04-18,31
2015-04-25,30
2015-05-02,27
2015-05-09,25
2015-05-16,24
2015-05-23,23
2015-05-30,24
2015-06-06,23
2015-06-13,23
2015-06-20,22
2015-06-27,23
2015-07-04,23
2015-07-11,24
2015-07-18,24
2015-07-25,23
2015-08-01,24
2015-08-08,23
2015-08-15,23
2015-08-22,23
2015-08-29,24
2015-09-05,22
2015-09-12,25
2015-09-19,24
2015-09-26,25
2015-10-03,25
2015-10-10,28
2015-10-17,25
2015-10-24,25
2015-10-31,26
2015-11-07,24
2015-11-14,25
2015-11-21,20
2015-11-28,26
2015-12-05,27
2015-12-12,27
2015-12-19,23
2015-12-26,31
2016-01-02,46
2016-01-09,58
2016-01-16,60
2016-01-23,80
2016-01-30,86
2016-02-06,69
2016-02-13,58
2016-02-20,56
2016-02-27,53
2016-03-05,50
2016-03-12,48
2016-03-19,47
2016-03-26,54
2016-04-02,60
2016-04-09,100
2016-04-16,61
2016-04-23,34
2016-04-30,30
2016-05-07,27
2016-05-14,26
2016-05-21,25
2016-05-28,24
2016-06-04,25
2016-06-11,24
2016-06-18,24
2016-06-25,24
2016-07-02,24
2016-07-09,25
2016-07-16,25
2016-07-23,26
2016-07-30,27
2016-08-06,26
2016-08-13,26
2016-08-20,25
2016-08-27,25
2016-09-03,24
2016-09-10,27
2016-09-17,26
2016-09-24,31
