week,baseball
2011-10-08,46
2011-10-15,41
2011-10-22,52
2011-10-29,31
2011-11-05,28
2011-11-12,28
2011-11-19,25
2011-11-26,28
2011-12-03,30
2011-12-10,28
2011-12-17,25
2011-12-24,24
2011-12-31,28
2012-01-07,31
2012-01-14,32
2012-01-21,35
2012-01-28,37
2012-02-04,39
2012-02-11,43
2012-02-18,51
2012-02-25,53
2012-03-03,56
2012-03-10,57
2012-03-17,62
2012-03-24,70
2012-03-31,81
2012-04-07,83
2012-04-14,84
2012-04-21,82
2012-04-28,84
2012-05-05,83
2012-05-12,84
2012-05-19,88
2012-05-26,94
2012-06-02,99
2012-06-09,86
2012-06-16,80
2012-06-23,69
2012-06-30,63
2012-07-07,67
2012-07-14,63
2012-07-21,62
2012-07-28,58
2012-08-04,51
2012-08-11,52
2012-08-18,53
2012-08-25,46
2012-09-01,45
2012-09-08,43
2012-09-15,46
2012-09-22,42
2012-09-29,51
2012-10-06,51
2012-10-13,46
2012-10-20,43
2012-10-27,34
2012-11-03,25
2012-11-10,27
2012-11-17,23
2012-11-24,26
2012-12-01,27
2012-12-08,27
2012-12-15,24
2012-12-22,23
2012-12-29,27
2013-01-05,33
2013-01-12,32
2013-01-19,34
2013-01-26,35
2013-02-02,39
2013-02-09,45
2013-02-16,51
2013-02-23,56
2013-03-02,71
2013-03-09,81
2013-03-16,71
2013-03-23,67
2013-03-30,85
2013-04-06,84
2013-04-13,77
2013-04-20,78
2013-04-27,79
2013-05-04,80
2013-05-11,79
2013-05-18,87
2013-05-25,93
2013-06-01,100
2013-06-08,86
2013-06-15,80
2013-06-22,66
2013-06-29,62
2013-07-06,64
2013-07-13,62
2013-07-20,62
2013-07-27,61
2013-08-03,60
2013-08-10,54
2013-08-17,58
2013-08-24,49
2013-08-31,47
2013-09-07,44
2013-09-14,42
2013-09-21,42
2013-09-28,44
2013-10-05,45
2013-10-12,46
2013-10-19,39
2013-10-26,44
2013-11-02,27
2013-11-09,26
2013-11-16,25
2013-11-23,22
2013-11-30,26
2013-12-07,26
2013-12-14,24
2013-12-21,22
2013-12-28,24
2014-01-04,30
2014-01-11,31
2014-01-18,31
2014-01-25,32
2014-02-01,35
2014-02-08,40
2014-02-15,47
2014-02-22,52
2014-03-01,55
2014-03-08,57
2014-03-15,61
2014-03-22,68
2014-03-29,90
2014-04-05,84
2014-04-12,84
2014-04-19,87
2014-04-26,81
2014-05-03,80
2014-05-10,81
2014-05-17,89
2014-05-24,92
2014-05-31,99
2014-06-07,80
2014-06-14,77
2014-06-21,70
2014-06-28,60
2014-07-05,63
2014-07-12,60
2014-07-19,63
2014-07-26,63
2014-08-02,59
2014-08-09,56
2014-08-16,54
2014-08-23,48
2014-08-30,41
2014-09-06,39
2014-09-13,39
2014-09-20,40
2014-09-27,48
2014-10-04,46
2014-10-11,41
2014-10-18,36
2014-10-25,45
2014-11-01,26
2014-11-08,25
2014-11-15,25
2014-11-22,22
2014-11-29,25
2014-12-06,26
2014-12-13,24
2014-12-20,21
2014-12-27,23
2015-01-03,29
2015-01-10,29
2015-01-17,30
2015-01-24,31
2015-01-31,34
2015-02-07,41
2015-02-14,44
2015-02-21,45
2015-02-28,51
2015-03-07,57
2015-03-14,56
2015-03-21,60
2015-03-28,68
2015-04-04,80
2015-04-11,79
2015-04-18,79
2015-04-25,77
2015-05-02,72
2015-05-09,76
2015-05-16,83
2015-05-23,85
2015-05-30,94
2015-06-06,84
2015-06-13,75
2015-06-20,65
2015-06-27,56
2015-07-04,56
2015-07-11,56
2015-07-18,55
2015-07-25,56
2015-08-01,52
2015-08-08,50
2015-08-15,49
2015-08-22,47
2015-08-29,46
2015-09-05,43
2015-09-12,42
2015-09-19,43
2015-09-26,44
2015-10-03,51
2015-10-10,61
2015-10-17,48
2015-10-24,39
2015-10-31,33
2015-11-07,26
2015-11-14,26
2015-11-21,21
2015-11-28,25
2015-12-05,26
2015-12-12,25
2015-12-19,22
2015-12-26,22
2016-01-02,29
2016-01-09,28
2016-01-16,29
2016-01-23,31
2016-01-30,34
2016-02-06,35
2016-02-13,43
2016-02-20,49
2016-02-27,55
2016-03-05,55
2016-03-12,55
2016-03-19,62
2016-03-26,68
2016-04-02,87
2016-04-09,82
2016-04-16,77
2016-04-23,76
2016-04-30,75
2016-05-07,78
2016-05-14,86
2016-05-21,88
2016-05-28,91
2016-06-04,93
2016-06-11,77
2016-06-18,68
2016-06-25,70
2016-07-02,56
2016-07-09,53
2016-07-16,52
2016-07-23,51
2016-07-30,50
2016-08-06,46
2016-08-13,43
2016-08-20,43
2016-08-27,43
2016-09-03,42
2016-09-10,41
2016-09-17,40
2016-09-24,47
