week,gmail
2011-10-08,68
2011-10-15,68
2011-10-22,66
2011-10-29,68
2011-11-05,67
2011-11-12,68
2011-11-19,68
2011-11-26,69
2011-12-03,67
2011-12-10,68
2011-12-17,63
2011-12-24,61
2011-12-31,62
2012-01-07,63
2012-01-14,63
2012-01-21,63
2012-01-28,63
2012-02-04,65
2012-02-11,63
2012-02-18,63
2012-02-25,65
2012-03-03,65
2012-03-10,65
2012-03-17,64
2012-03-24,64
2012-03-31,61
2012-04-07,61
2012-04-14,63
2012-04-21,63
2012-04-28,61
2012-05-05,63
2012-05-12,62
2012-05-19,62
2012-05-26,63
2012-06-02,63
2012-06-09,62
2012-06-16,62
2012-06-23,63
2012-06-30,62
2012-07-07,63
2012-07-14,63
2012-07-21,63
2012-07-28,62
2012-08-04,61
2012-08-11,62
2012-08-18,64
2012-08-25,65
2012-09-01,66
2012-09-08,66
2012-09-15,66
2012-09-22,68
2012-09-29,70
2012-10-06,75
2012-10-13,74
2012-10-20,74
2012-10-27,73
2012-11-03,74
2012-11-10,73
2012-11-17,73
2012-11-24,75
2012-12-01,76
2012-12-08,76
2012-12-15,74
2012-12-22,68
2012-12-29,67
2013-01-05,73
2013-01-12,73
2013-01-19,74
2013-01-26,74
2013-02-02,75
2013-02-09,74
2013-02-16,76
2013-02-23,80
2013-03-02,81
2013-03-09,80
2013-03-16,80
2013-03-23,78
2013-03-30,82
2013-04-06,80
2013-04-13,81
2013-04-20,80
2013-04-27,78
2013-05-04,79
2013-05-11,79
2013-05-18,78
2013-05-25,79
2013-06-01,80
2013-06-08,79
2013-06-15,80
2013-06-22,78
2013-06-29,77
2013-07-06,77
2013-07-13,77
2013-07-20,76
2013-07-27,75
2013-08-03,73
2013-08-10,73
2013-08-17,77
2013-08-24,77
2013-08-31,79
2013-09-07,80
2013-09-14,81
2013-09-21,87
2013-09-28,97
2013-10-05,100
2013-10-12,96
2013-10-19,98
2013-10-26,98
2013-11-02,98
2013-11-09,97
2013-11-16,97
2013-11-23,95
2013-11-30,95
2013-12-07,96
2013-12-14,92
2013-12-21,84
2013-12-28,82
2014-01-04,93
2014-01-11,90
2014-01-18,96
2014-01-25,96
2014-02-01,94
2014-02-08,94
2014-02-15,90
2014-02-22,91
2014-03-01,91
2014-03-08,94
2014-03-15,92
2014-03-22,94
2014-03-29,94
2014-04-05,92
2014-04-12,85
2014-04-19,88
2014-04-26,86
2014-05-03,90
2014-05-10,91
2014-05-17,90
2014-05-24,89
2014-05-31,90
2014-06-07,90
2014-06-14,87
2014-06-21,85
2014-06-28,84
2014-07-05,85
2014-07-12,87
2014-07-19,86
2014-07-26,85
2014-08-02,88
2014-08-09,85
2014-08-16,89
2014-08-23,91
2014-08-30,93
2014-09-06,97
2014-09-13,97
2014-09-20,98
2014-09-27,96
2014-10-04,94
2014-10-11,96
2014-10-18,93
2014-10-25,93
2014-11-01,97
2014-11-08,95
2014-11-15,96
2014-11-22,93
2014-11-29,92
2014-12-06,92
2014-12-13,90
2014-12-20,77
2014-12-27,74
2015-01-03,86
2015-01-10,89
2015-01-17,89
2015-01-24,89
2015-01-31,91
2015-02-07,90
2015-02-14,87
2015-02-21,92
2015-02-28,94
2015-03-07,94
2015-03-14,89
2015-03-21,91
2015-03-28,84
2015-04-04,87
2015-04-11,88
2015-04-18,88
2015-04-25,84
2015-05-02,88
2015-05-09,88
2015-05-16,87
2015-05-23,86
2015-05-30,86
2015-06-06,86
2015-06-13,84
2015-06-20,83
2015-06-27,83
2015-07-04,83
2015-07-11,80
2015-07-18,79
2015-07-25,84
2015-08-01,84
2015-08-08,82
2015-08-15,90
2015-08-22,86
2015-08-29,88
2015-09-05,87
2015-09-12,88
2015-09-19,89
2015-09-26,90
2015-10-03,92
2015-10-10,87
2015-10-17,87
2015-10-24,88
2015-10-31,88
2015-11-07,87
2015-11-14,88
2015-11-21,87
2015-11-28,90
2015-12-05,88
2015-12-12,88
2015-12-19,74
2015-12-26,68
2016-01-02,83
2016-01-09,84
2016-01-16,85
2016-01-23,85
2016-01-30,89
2016-02-06,86
2016-02-13,89
2016-02-20,92
2016-02-27,90
2016-03-05,90
2016-03-12,91
2016-03-19,81
2016-03-26,89
2016-04-02,89
2016-04-09,89
2016-04-16,87
2016-04-23,87
2016-04-30,86
2016-05-07,89
2016-05-14,87
2016-05-21,88
2016-05-28,88
2016-06-04,86
2016-06-11,85
2016-06-18,82
2016-06-25,82
2016-07-02,79
2016-07-09,82
2016-07-16,82
2016-07-23,82
2016-07-30,83
2016-08-06,82
2016-08-13,79
2016-08-20,84
2016-08-27,87
2016-09-03,87
2016-09-10,87
2016-09-17,90
2016-09-24,91
